column_name,count,mean,std,min,25%,50%,75%,max
DIVISION,74947.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
PUMA10,74947.0,766.9651353623227,658.8166995844988,-9.0,100.0,700.0,1300.0,2000.0
PUMA20,74947.0,189.3945321360428,449.8240022833063,-9.0,-9.0,-9.0,-9.0,1700.0
REGION,74947.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
ST,74947.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
ADJHSG,74947.0,1104757.1281839167,61793.73480086495,1000000.0,1080912.0,1133141.0,1148217.0,1169060.0
ADJINC,74947.0,1127041.9497911858,49853.58476201067,1042311.0,1113261.0,1140108.0,1159866.0,1184371.0
WGTP,74947.0,18.302387020160914,20.90523301517356,0.0,5.0,13.0,23.0,391.0
NP,74947.0,1.960025084392971,1.4366056396199383,0.0,1.0,2.0,3.0,20.0
TYPEHUGQ,74947.0,1.15653728634902,0.47079328028966394,1.0,1.0,1.0,1.0,3.0
ACCESSINET,59048.0,1.3218059883484623,0.716239374622756,1.0,1.0,1.0,1.0,3.0
ACR,58328.0,1.4831813194349197,0.6616897048148374,1.0,1.0,1.0,2.0,3.0
AGS,20756.0,1.1801888610522258,0.8286630325826077,1.0,1.0,1.0,1.0,6.0
BATH,66573.0,1.013323719826356,0.11465773323126424,1.0,1.0,1.0,1.0,2.0
BDSP,66573.0,2.7681642708004746,0.9216582527816942,0.0,2.0,3.0,3.0,7.0
BLD,66573.0,2.399801721418593,1.539486468642895,1.0,2.0,2.0,2.0,10.0
BROADBND,48748.0,1.092619184376795,0.2899010091109889,1.0,1.0,1.0,1.0,2.0
COMPOTHX,59048.0,1.9820823736621054,0.13265324351148,1.0,2.0,2.0,2.0,2.0
CONP,42832.0,2.082975345536048,32.5287404976345,0.0,0.0,0.0,0.0,1400.0
DIALUP,48748.0,1.9729629933535735,0.1621929300605756,1.0,2.0,2.0,2.0,2.0
ELEFP,59048.0,2.94846565506029,0.29750433904416457,1.0,3.0,3.0,3.0,3.0
ELEP,57175.0,169.1913598600787,144.07975833187416,4.0,100.0,150.0,200.0,3000.0
FS,67422.0,1.8985790988104774,0.3018874851947009,1.0,2.0,2.0,2.0,2.0
FULFP,59048.0,2.069570518899878,0.2667081514889967,1.0,2.0,2.0,2.0,3.0
FULP,4297.0,488.8559460088434,547.7965664120703,4.0,150.0,300.0,600.0,3300.0
GASFP,59048.0,3.518544235198483,0.5860749983675979,1.0,3.0,4.0,4.0,4.0
GASP,32675.0,89.98800306044376,117.19019531192853,4.0,30.0,60.0,100.0,1600.0
